罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2018-07-01,11,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-06-26,05,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-02-05,05,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-02-22,16,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-03-24,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-03-25,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2018-03-19,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2018-03-14,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2018-09-01,00,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,西が岡１丁目,2018-03-12,15,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-04-13,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-06-29,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-07-05,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-10-09,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-10-19,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-11-17,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-12-11,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2018-12-17,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,踊場,141101,神奈川県,横浜市戸塚区,戸塚町,2018-04-19,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,踊場,141101,神奈川県,横浜市戸塚区,鳥が丘,2018-08-15,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,上矢部町,2018-08-24,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2018-03-29,20,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2018-10-07,15,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2018-02-15,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2018-08-01,13,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2018-03-27,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2018-04-07,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2018-11-28,20,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2018-10-15,00,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2018-06-21,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2018-10-08,20,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2018-04-28,05,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2018-11-05,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2018-10-08,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2018-06-12,08,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,南舞岡３丁目,2018-10-23,12,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2018-02-04,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2018-10-25,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2018-11-09,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2018-11-10,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2018-12-11,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,,141186,神奈川県,横浜市都筑区,高山,2018-04-30,22,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,川島町,2018-11-22,14,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰２丁目,2018-01-16,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰２丁目,2018-06-08,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰２丁目,2018-08-22,19,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2018-06-02,21,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,中希望が丘,2018-10-31,02,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,二俣川１丁目,2018-07-17,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,二俣川２丁目,2018-05-24,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,中尾２丁目,2018-01-04,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,二俣川,141127,神奈川県,横浜市旭区,中尾２丁目,2018-01-09,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,市沢,141127,神奈川県,横浜市旭区,三反田町,2018-03-06,13,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,上川井,141127,神奈川県,横浜市旭区,川井宿町,2018-01-04,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根３丁目,2018-01-19,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加賀町,尾上町,141046,神奈川県,横浜市中区,尾上町５丁目,2018-03-11,04,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,山手,見晴通,141046,神奈川県,横浜市中区,本牧町１丁目,2018-05-31,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村１丁目,2018-11-29,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,磯子,森,141071,神奈川県,横浜市磯子区,森３丁目,2018-07-07,03,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,磯子,杉田,141071,神奈川県,横浜市磯子区,杉田１丁目,2018-03-19,20,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台３丁目,2018-07-06,16,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,上中里,141071,神奈川県,横浜市磯子区,栗木１丁目,2018-02-18,17,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,磯子,磯子駅前,141071,神奈川県,横浜市磯子区,磯子３丁目,2018-03-02,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,泥亀１丁目,2018-07-04,08,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,金沢文庫駅前,141089,神奈川県,横浜市金沢区,釜利谷東２丁目,2018-07-18,17,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,洲崎,141089,神奈川県,横浜市金沢区,寺前２丁目,2018-04-04,12,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,大道,141089,神奈川県,横浜市金沢区,大道１丁目,2018-03-17,19,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,並木,141089,神奈川県,横浜市金沢区,富岡東２丁目,2018-08-02,21,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,金沢,幸浦,141089,神奈川県,横浜市金沢区,並木２丁目,2018-03-30,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,金沢,釜利谷,141089,神奈川県,横浜市金沢区,釜利谷東６丁目,2018-08-07,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,長者町８丁目,2017-06-05,20,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,伊勢佐木町６丁目,2018-03-19,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,不老町１丁目,2018-04-22,06,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,不老町３丁目,2018-01-10,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,不老町３丁目,2018-05-15,19,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,石川町１丁目,2018-08-29,10,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,松影町３丁目,2018-04-21,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,末広町２丁目,2018-10-24,03,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町７丁目,2018-12-09,08,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2018-03-26,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2018-04-29,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2018-06-07,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,2018-06-19,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,2018-10-06,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,南浅間町,141038,神奈川県,横浜市西区,浅間町３丁目,2018-06-09,14,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,浜松町,141038,神奈川県,横浜市西区,浜松町,2018-10-19,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,藤棚町,141038,神奈川県,横浜市西区,中央２丁目,2018-09-10,10,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸部,野毛山公園,141038,神奈川県,横浜市西区,老松町,2018-02-08,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸部,伊勢町,141038,神奈川県,横浜市西区,西戸部町２丁目,2018-09-19,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾３丁目,2018-12-21,21,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,白楽,2018-05-21,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,神大寺２丁目,2018-04-17,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,神大寺４丁目,2018-07-04,13,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢中町,2018-05-05,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,台町,2018-04-02,15,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2018-09-04,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,潮田,141011,神奈川県,横浜市鶴見区,浜町１丁目,2018-09-22,14,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,原,141011,神奈川県,横浜市鶴見区,生麦３丁目,2018-06-17,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,市場,141011,神奈川県,横浜市鶴見区,市場大和町,2018-04-16,18,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,上末吉５丁目,2018-04-15,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,三角,141011,神奈川県,横浜市鶴見区,佃野町,2018-02-27,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,三角,141011,神奈川県,横浜市鶴見区,豊岡町,2018-02-04,00,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡４丁目,2018-07-23,06,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,獅子ケ谷３丁目,2018-07-25,11,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場１丁目,2018-02-11,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場１丁目,2018-07-21,07,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場２丁目,2018-10-08,20,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,馬場３丁目,2018-07-21,21,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,向谷,141011,神奈川県,横浜市鶴見区,東寺尾１丁目,2018-05-07,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,鶴見,北寺尾,141011,神奈川県,横浜市鶴見区,上の宮１丁目,2018-06-02,11,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,帷子町１丁目,2017-12-07,11,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,保土ケ谷橋,141062,神奈川県,横浜市保土ケ谷区,瀬戸ケ谷町,2018-08-16,10,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,宮田町１丁目,2018-12-24,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,和田町,141062,神奈川県,横浜市保土ケ谷区,和田２丁目,2018-03-30,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,両郡橋,141062,神奈川県,横浜市保土ケ谷区,仏向町,2018-01-09,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,両郡橋,141062,神奈川県,横浜市保土ケ谷区,仏向町,2018-06-29,23,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,西谷,141062,神奈川県,横浜市保土ケ谷区,上菅田町,2018-11-26,14,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,鎌谷町,2018-10-08,06,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,2017-09-08,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,2018-07-12,11,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,保土ケ谷,花見台,141062,神奈川県,横浜市保土ケ谷区,花見台,2018-08-19,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,花見台,141062,神奈川県,横浜市保土ケ谷区,仏向町,2018-09-27,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,新井町,2018-08-21,09,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
