罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2018-03-10,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,八幡町,141054,神奈川県,横浜市南区,中村町３丁目,2018-11-12,07,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,南,吉野町,141054,神奈川県,横浜市南区,日枝町２丁目,2018-09-13,09,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,吉野町,141054,神奈川県,横浜市南区,前里町４丁目,2018-06-14,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2018-05-19,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2018-02-18,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2018-02-23,18,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2018-06-07,16,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2018-11-03,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,通町,141054,神奈川県,横浜市南区,通町４丁目,2018-10-30,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2018-07-26,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2018-10-16,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,中央６丁目,2018-08-26,11,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2017-05-10,21,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2018-02-21,13,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2018-08-02,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2018-07-28,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2018-02-12,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2018-04-19,23,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2018-02-11,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2018-04-22,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2018-02-23,13,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-03-06,15,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋３丁目,2018-03-12,20,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,福田,142131,神奈川県,大和市,下和田,2018-03-21,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,寺尾,142182,神奈川県,綾瀬市,大上４丁目,2018-10-20,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町１丁目,2018-11-30,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2018-04-20,17,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2018-02-15,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北１丁目,2017-11-20,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2018-01-11,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2018-10-20,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
