罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町４丁目,2021/5/14,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,通町,141054,神奈川県,横浜市南区,宮元町２丁目,2021/1/2,6,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2021/9/4,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,小園,2021/5/15,15,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾釜田２丁目,2021/5/31,5,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台３丁目,2021/5/25,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中６丁目,2021/7/31,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷上８丁目,2021/2/22,17,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳８丁目,2021/4/26,18,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳８丁目,2021/10/1,4,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,上和田,2021/12/11,0,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,下和田,2021/9/18,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,渋谷１丁目,2021/1/15,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2021/4/26,18,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間４丁目,2021/5/5,23,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西５丁目,2021/2/1,18,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,泉,中田,141160,神奈川県,横浜市泉区,,2021/1/15,8,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家３丁目,2021/3/30,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,桂坂,2021/10/2,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2021/8/2,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2021/10/2,22,その他,その他,キーなし,なし,なし
窃盗,自動車盗,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,上矢部町,2021/5/2,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2021/2/24,16,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2021/7/5,0,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2021/9/19,12,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸１丁目,2021/7/10,10,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2021/1/14,22,その他,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2021/8/30,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢１丁目,2021/10/2,20,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2021/2/22,15,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2021/4/27,16,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2021/9/11,1,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2021/9/20,18,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,旭,南希望が丘,141127,神奈川県,横浜市旭区,南本宿町,2021/5/14,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,旭,市沢,141127,神奈川県,横浜市旭区,市沢町,2021/7/10,16,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,加賀町,元町,141046,神奈川県,横浜市中区,新山下１丁目,2020/11/11,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,加賀町,尾上町,141046,神奈川県,横浜市中区,相生町１丁目,2021/1/1,21,駐車（輪）場,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,加賀町,尾上町,141046,神奈川県,横浜市中区,港町５丁目,2021/1/13,17,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,2021/11/22,18,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,山手,本牧三之谷,141046,神奈川県,横浜市中区,本牧原,2021/12/9,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,山手,根岸,141046,神奈川県,横浜市中区,池袋,2021/1/12,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,山手,根岸,141046,神奈川県,横浜市中区,滝之上,2021/10/11,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,山手,見晴通,141046,神奈川県,横浜市中区,本牧町２丁目,2021/6/20,4,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,磯子,根岸駅前,141071,神奈川県,横浜市磯子区,西町,2021/3/25,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,磯子,汐見台,141071,神奈川県,横浜市磯子区,汐見台１丁目,2021/10/13,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,金沢,六浦,141089,神奈川県,横浜市金沢区,六浦１丁目,2021/12/15,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町３丁目,2021/1/23,13,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,末吉町４丁目,2021/10/25,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,長者町５丁目,2020/11/21,16,道路上,その他,キーあり,あり,なし
窃盗,自動車盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,長者町５丁目,2021/1/8,20,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,不老町１丁目,2021/1/19,19,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,長者町,141046,神奈川県,横浜市中区,不老町３丁目,2021/2/17,23,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2021/12/13,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,戸部,浅間町,141038,神奈川県,横浜市西区,宮ケ谷,2020/12/15,18,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,戸部,浜松町,141038,神奈川県,横浜市西区,中央２丁目,2021/9/5,21,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,戸部,浜松町,141038,神奈川県,横浜市西区,浜松町,2021/6/10,0,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,神奈川,入江,141020,神奈川県,横浜市神奈川区,入江１丁目,2021/8/3,18,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋４丁目,2021/1/25,16,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神奈川,反町,141020,神奈川県,横浜市神奈川区,桐畑,2021/1/25,0,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,三枚町,2021/2/12,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,片倉１丁目,2021/11/5,19,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,2021/7/31,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神奈川,羽沢,141020,神奈川県,横浜市神奈川区,羽沢町,2021/9/2,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神奈川,菅田,141020,神奈川県,横浜市神奈川区,菅田町,2021/3/20,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,梶山２丁目,2021/7/12,21,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,鶴見,別所,141011,神奈川県,横浜市鶴見区,北寺尾２丁目,2021/1/25,18,その他,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,鶴見,末吉,141011,神奈川県,横浜市鶴見区,下末吉４丁目,2021/6/1,8,道路上,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,鶴見,潮田,141011,神奈川県,横浜市鶴見区,大東町,2021/12/9,22,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,鶴見,潮田,141011,神奈川県,横浜市鶴見区,平安町２丁目,2021/10/10,15,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,大黒ふ頭,2021/1/31,14,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,大黒ふ頭,2021/1/31,14,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,鶴見,生麦,141011,神奈川県,横浜市鶴見区,大黒ふ頭,2021/4/19,10,道路上,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,鶴見,矢向駅前,141011,神奈川県,横浜市鶴見区,江ケ崎町,2021/7/13,19,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2021/12/24,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,新井町,2021/10/29,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,上菅田町,2021/10/23,22,一戸建住宅,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,今井町,141062,神奈川県,横浜市保土ケ谷区,今井町,2020/12/27,13,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,保土ケ谷,元町橋,141062,神奈川県,横浜市保土ケ谷区,法泉３丁目,2021/10/19,18,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,峰岡町２丁目,2021/7/29,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,保土ケ谷,岡沢町,141062,神奈川県,横浜市保土ケ谷区,常盤台,2021/5/15,17,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,川島町,141062,神奈川県,横浜市保土ケ谷区,川島町,2021/7/5,17,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,港南,南高校前,141119,神奈川県,横浜市港南区,東永谷３丁目,2021/8/30,20,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,港南,日野,141119,神奈川県,横浜市港南区,日野６丁目,2021/8/27,12,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,港南,芹が谷,141119,神奈川県,横浜市港南区,芹が谷３丁目,2021/2/15,23,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,港南,芹が谷,141119,神奈川県,横浜市港南区,下永谷６丁目,2021/3/11,21,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2021/1/21,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2021/7/2,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港南,関の下,141119,神奈川県,横浜市港南区,港南６丁目,2021/12/11,8,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,緑,鴨居駅前,141135,神奈川県,横浜市緑区,鴨居７丁目,2021/9/11,10,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,港北,大倉山,141097,神奈川県,横浜市港北区,師岡町,2021/12/15,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,小机,141097,神奈川県,横浜市港北区,小机町,2021/9/1,0,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,小机,141097,神奈川県,横浜市港北区,小机町,2021/10/4,8,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2021/1/11,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2021/1/13,8,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜３丁目,2021/12/13,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東３丁目,2021/3/26,16,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,瀬谷,北新,141143,神奈川県,横浜市瀬谷区,北新,2021/3/12,1,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,瀬谷,北新,141143,神奈川県,横浜市瀬谷区,橋戸２丁目,2021/8/8,5,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,目黒町,2021/8/26,5,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,栄,元大橋,141151,神奈川県,横浜市栄区,鍛冶ケ谷１丁目,2021/6/18,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷４丁目,2021/1/26,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,青葉,すすき野,141178,神奈川県,横浜市青葉区,美しが丘西２丁目,2021/8/28,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,青葉,荏田町,141178,神奈川県,横浜市青葉区,荏田町,2021/5/11,23,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台２丁目,2021/6/30,15,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,青葉,鴨志田,141178,神奈川県,横浜市青葉区,鴨志田町,2021/8/12,18,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,都筑,センター北駅前,141186,神奈川県,横浜市都筑区,牛久保東１丁目,2021/5/12,1,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,中川駅前,141186,神奈川県,横浜市都筑区,牛久保西４丁目,2021/6/3,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,仲町台駅前,141186,神奈川県,横浜市都筑区,茅ケ崎南１丁目,2021/5/11,8,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田３丁目,2021/3/27,0,一戸建住宅,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,折本町,141186,神奈川県,横浜市都筑区,折本町,2021/2/24,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,池辺町,141186,神奈川県,横浜市都筑区,池辺町,2021/2/6,15,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,都筑,池辺町,141186,神奈川県,横浜市都筑区,池辺町,2021/9/6,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,麻生,新百合ヶ丘駅前,141372,神奈川県,川崎市麻生区,上麻生１丁目,2021/6/25,20,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,麻生,柿生,141372,神奈川県,川崎市麻生区,上麻生７丁目,2021/6/30,19,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,川崎,京町通,141313,神奈川県,川崎市川崎区,池田１丁目,2021/2/5,1,一戸建住宅,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,川崎,南町,141313,神奈川県,川崎市川崎区,東田町,2021/12/15,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,日ノ出１丁目,2021/8/22,9,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,川崎臨港,殿町,141313,神奈川県,川崎市川崎区,東扇島,2021/2/6,7,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,池上町,2021/6/14,18,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,桜本１丁目,2021/12/14,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,高津,千年,141348,神奈川県,川崎市高津区,千年,2021/12/9,18,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,多摩,菅,141356,神奈川県,川崎市多摩区,菅１丁目,2021/7/1,23,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,多摩,菅星ヶ丘,141356,神奈川県,川崎市多摩区,菅３丁目,2021/9/17,17,駐車（輪）場,駐車（輪）場,キーなし,あり,貨物自動車
窃盗,自動車盗,多摩,菅星ヶ丘,141356,神奈川県,川崎市多摩区,菅３丁目,2021/9/17,23,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,多摩,長沢,141356,神奈川県,川崎市多摩区,長沢１丁目,2020/12/30,13,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,多摩,長沢,141356,神奈川県,川崎市多摩区,長沢１丁目,2020/12/30,21,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,幸,川崎駅西口,141321,神奈川県,川崎市幸区,柳町,2021/7/14,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,幸,幸町,141321,神奈川県,川崎市幸区,中幸町１丁目,2021/9/20,22,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,宮前,野川,141364,神奈川県,川崎市宮前区,,2021/8/6,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,土橋３丁目,2021/12/1,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,横須賀,中央駅前,142018,神奈川県,横須賀市,小川町,2021/12/7,20,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,横須賀,森崎町,142018,神奈川県,横須賀市,大矢部５丁目,不明,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,横須賀,森崎町,142018,神奈川県,横須賀市,大矢部５丁目,不明,不明,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,横須賀,武山,142018,神奈川県,横須賀市,太田和１丁目,2021/9/17,14,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,横須賀,逸見駅前,142018,神奈川県,横須賀市,東逸見町１丁目,2021/3/17,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,田浦,浦郷町,142018,神奈川県,横須賀市,追浜東町１丁目,2021/7/29,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,浦賀,野比,142018,神奈川県,横須賀市,野比１丁目,2021/11/29,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦賀,馬堀,142018,神奈川県,横須賀市,馬堀海岸４丁目,2021/11/21,15,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野,2020/8/15,6,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野１丁目,2021/7/1,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野３丁目,2021/6/1,12,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野４丁目,2021/7/12,18,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,藤沢北,善行,142051,神奈川県,藤沢市,立石１丁目,2021/11/30,21,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,藤沢北,御所見,142051,神奈川県,藤沢市,打戻,2021/9/27,12,その他,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,藤沢北,御所見,142051,神奈川県,藤沢市,獺郷,2021/5/6,16,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,藤沢北,御所見,142051,神奈川県,藤沢市,葛原,2021/1/26,20,その他,駐車（輪）場,キーなし,なし,貨物自動車
