罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町５丁目,2021/1/27,17,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2021/2/24,23,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,久保山,141054,神奈川県,横浜市南区,庚台,2021/1/30,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,久保山,141054,神奈川県,横浜市南区,三春台,2021/1/17,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,久保山,141054,神奈川県,横浜市南区,三春台,2021/7/30,0,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2021/10/21,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2021/6/13,15,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,八幡町,141054,神奈川県,横浜市南区,平楽,2021/7/31,1,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2021/5/27,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2021/10/21,20,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2021/10/20,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2021/8/21,22,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町３丁目,2021/9/12,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2021/1/13,13,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2021/12/19,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2021/7/12,7,その他,その他,キーあり,なし,貨物自動車
