罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2018/12/29,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2019/8/23,17,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町２丁目,2019/6/12,6,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町２丁目,2019/12/21,21,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,万世町１丁目,2019/6/11,12,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,万世町１丁目,2019/8/29,1,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2019/2/23,12,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2019/5/18,9,その他,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2019/8/28,18,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2019/12/4,6,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2019/5/18,7,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見,2019/2/28,12,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見,2019/11/15,18,一戸建住宅,10歳代,小学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見台３丁目,2019/4/22,17,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/1/18,17,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/3/19,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/3/24,15,道路上,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/5/16,16,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/7/16,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東１丁目,2019/11/4,21,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/1/25,7,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/2/23,19,道路上,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/3/5,5,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/7/15,5,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/12/10,17,道路上,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/12/12,9,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東２丁目,2019/12/13,6,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2018/12/29,17,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2019/4/5,17,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2019/11/13,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2018/12/29,22,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/8/13,13,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/10/6,1,道路上,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/11/16,18,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/12/3,15,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/12/11,7,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/12/13,8,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019/12/23,13,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2019/2/2,19,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2019/6/29,14,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2019/8/31,12,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,大和駅前,142131,神奈川県,大和市,深見東１丁目,2019/9/2,22,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳５丁目,2019/2/7,21,道路上,30歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2019/3/7,22,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2019/7/13,16,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,相模大塚駅前,142182,神奈川県,綾瀬市,,2019/4/20,11,その他,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2019/3/27,1,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2019/4/15,16,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2019/11/13,9,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2019/1/9,15,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2019/7/27,11,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2019/9/21,17,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2019/10/30,5,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間１丁目,2019/11/1,8,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2019/4/22,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2019/5/8,18,道路上,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2019/8/16,23,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2019/11/21,7,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2019/12/16,14,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2019/10/25,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2019/4/1,7,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2019/6/7,7,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2019/6/18,20,道路上,20歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2019/7/20,21,その他,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2019/4/20,18,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2019/8/15,7,その他,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/1/8,17,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/2/23,0,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/3/5,17,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/3/22,20,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/4/24,20,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019/8/8,5,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2019/11/27,16,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,大和東１丁目,2019/9/4,14,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見西４丁目,2019/3/4,7,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2019/2/22,12,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2019/5/2,9,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2019/5/23,6,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2019/7/5,12,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間２丁目,2019/1/8,8,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2019/9/17,19,その他,50歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,南林間８丁目,2019/12/18,19,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2019/3/11,18,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2019/5/2,16,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2019/8/23,9,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2019/9/2,16,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,大和,南林間駅前,142131,神奈川県,大和市,林間１丁目,2019/12/13,20,道路上,40歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019/6/18,23,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019/11/15,19,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野３丁目,2019/10/31,6,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野８丁目,2018/7/1,12,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野８丁目,2019/11/9,7,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,,2019/8/22,20,一戸建住宅,70歳以上,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2019/3/6,0,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2019/6/13,19,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間１丁目,2019/7/1,22,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/7/10,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/8/17,10,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/8/31,10,その他の住宅（３階建て以下共同住宅等）,60-64歳,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/11/11,15,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/12/7,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/12/16,23,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間３丁目,2019/12/27,9,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2018/10/5,18,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/2/4,7,道路上,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/2/20,10,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/4/8,19,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/4/28,17,道路上,20歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/6/25,7,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/7/9,7,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2019/9/22,9,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2019/2/20,19,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2019/4/14,13,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,大和,中央林間,142131,神奈川県,大和市,中央林間５丁目,2019/5/12,19,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019/5/25,23,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田,2019/9/20,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田２丁目,2019/11/4,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,福田６丁目,2019/8/5,6,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋２丁目,2019/10/25,16,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋３丁目,2019/5/5,11,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋５丁目,2019/11/18,20,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,上和田,2019/2/9,8,一戸建住宅,10歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,下和田,2019/2/2,11,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,下和田,2019/6/16,23,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,代官１丁目,2019/8/9,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,福田,2019/11/7,15,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,福田,2019/12/4,7,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,,2019/8/16,11,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,,2019/12/11,7,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷５丁目,2019/10/15,6,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷５丁目,2019/12/20,19,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2019/4/8,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2019/6/23,12,駐車（輪）場,10歳代,高校生,施錠した
