罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,,141046,神奈川県,横浜市中区,弥生町５丁目,2019/7/10,8,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,共進町１丁目,2019/2/24,10,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2019/12/2,13,道路上,50歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,永楽町１丁目,2019/9/10,22,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2019/5/29,14,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2019/2/16,8,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2019/3/17,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2019/8/6,13,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2019/11/15,23,道路上,50歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2019/8/10,2,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,日枝町２丁目,2019/8/8,15,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,二葉町４丁目,2019/5/3,14,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,二葉町４丁目,2019/10/7,1,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2019/3/15,8,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2019/8/9,18,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2019/9/5,16,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,前里町４丁目,2019/11/16,22,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,南吉田町１丁目,2018/12/2,18,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,南吉田町１丁目,2019/6/20,2,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,南吉田町４丁目,2019/4/9,7,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,吉野町５丁目,2019/10/26,15,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,久保山,141054,神奈川県,横浜市南区,庚台,2019/2/20,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2019/1/20,2,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2019/9/4,11,その他,10歳代,その他,施錠した
窃盗,自転車盗,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2019/10/10,6,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,中里３丁目,2019/9/28,23,道路上,40歳代,その他,施錠した
窃盗,自転車盗,南,大岡町,141054,神奈川県,横浜市南区,別所１丁目,2019/6/21,8,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2019/1/16,13,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2019/4/1,8,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2019/4/21,13,その他,60-64歳,その他,施錠した
窃盗,自転車盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2019/9/23,21,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,永田,141054,神奈川県,横浜市南区,永田東１丁目,2019/2/22,21,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2019/5/28,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2019/10/16,10,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019/9/29,23,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019/10/10,20,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,2019/8/19,0,その他の住宅（３階建て以下共同住宅等）,10歳代,その他,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019/3/13,20,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019/3/16,19,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2019/11/12,17,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,大岡１丁目,2019/1/10,22,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,大岡２丁目,2019/7/14,21,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019/6/21,6,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019/8/10,8,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019/10/10,10,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,通町３丁目,2019/8/7,12,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2019/9/2,19,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2019/10/10,9,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町１丁目,2019/12/16,9,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,浦舟町１丁目,2019/12/17,6,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,浦舟町,141054,神奈川県,横浜市南区,白妙町１丁目,2019/1/17,16,道路上,20歳代,その他,施錠した
